"MasterID","yr","COMID","pChem","pHab","pOverall","biological_condition","stress_condition","SQI","County","SMC_region","Regional_board","Constraint_class","ASCI","blc","bs","Cond","CSCI","Ev_FlowHab","H_AqHab","H_SubNat","hy","CRAM","IPI","PCT_SAFN","ps","TN","TP","XCMG","lon","lat","ASCI_ptile","blc_ptile","bs_ptile","Cond_ptile","CRAM_ptile","CSCI_ptile","Ev_FlowHab_ptile","H_AqHab_ptile","H_SubNat_ptile","hy_ptile","IPI_ptile","PCT_SAFN_ptile","ps_ptile","TN_ptile","TP_ptile","XCMG_ptile"
"402M00002",2015,17586972,0.996579392919049,0.700625127967836,0.998975956192868,"Impacted for CSCI","Stressed by chemistry degradation","Impacted and stressed","Ventura","Ventura","Los Angeles","possibly constrained",0.97,93.3,55.6,1806,0.73,0.77,1,0.96,75,65,1.07,0.81,37.5,1.2,0.36,0.68,-119.29916,34.31063,0.857677902621723,0.790262172284644,0.367041198501873,0.685393258426966,0.419475655430712,0.550561797752809,0.692883895131086,1,0.872659176029963,0.756554307116105,0.868913857677903,0.662921348314607,0.247191011235955,0.558052434456929,0.853932584269663,0.659176029962547
"402M00005",2015,17585758,0.449574905593948,0.355330096185873,0.645157507332369,"Healthy","Low stress","Healthy and unstressed","Ventura","Ventura","Los Angeles","likely unconstrained",1.14,100,77.8,1210,0.94,0.78,0.73,0.97,91.7,89,1,0.77,87.5,0,0,0.64,-119.40097,34.51364,0.97752808988764,1,0.786516853932584,0.468164794007491,0.955056179775281,0.782771535580524,0.700374531835206,0.50187265917603,0.883895131086142,0.895131086142322,0.722846441947566,0.584269662921348,0.861423220973783,0.0936329588014981,0.108614232209738,0.588014981273408
"402M00009",2015,17586774,0.287634449170452,0.300092254740476,0.501409833518332,"Impacted for CSCI","Low stress","Impacted by unknown stress","Ventura","Ventura","Los Angeles","likely unconstrained",1.17,100,88.9,754,0.28,0.15,0.78,1,91.7,95,0.95,0.77,100,0,0.01,0.82,-119.37505,34.41824,0.99250936329588,1,0.932584269662921,0.209737827715356,0.98501872659176,0.0112359550561798,0.052434456928839,0.610486891385768,1,0.895131086142322,0.606741573033708,0.584269662921348,1,0.0936329588014981,0.179775280898876,0.786516853932584
"402M00015",2016,948070367,0.617408500644597,0.586199291406766,0.841683366464986,"Impacted for CSCI","Low stress","Impacted by unknown stress","Ventura","Ventura","Los Angeles",NA,0.93,86.4,80.6,1334,0.7,0.18,0.85,1,75,76,0.98,0.95,62.5,0.28,0,0.74,-119.29151,34.47484,0.786516853932584,0.565543071161049,0.835205992509363,0.535580524344569,0.715355805243446,0.52059925093633,0.0674157303370786,0.760299625468165,1,0.756554307116105,0.681647940074906,0.827715355805243,0.565543071161049,0.183520599250936,0.108614232209738,0.715355805243446
"402M00029",2016,17587720,0.785329084256976,0.638662953061807,0.922431445241898,"Impacted for CSCI","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed","Ventura","Ventura","Los Angeles","possibly unconstrained",0.89,82.9,61.1,1260,0.31,0.3,0.96,0.93,75,67,0.93,0.96,50,0.58,0.02,0.56,-119.31172,34.35798,0.737827715355805,0.49063670411985,0.51310861423221,0.49812734082397,0.50187265917603,0.0337078651685393,0.146067415730337,0.955056179775281,0.794007490636704,0.756554307116105,0.573033707865168,0.838951310861423,0.524344569288389,0.370786516853933,0.254681647940075,0.50561797752809
"402S09503",2012,17587578,0.357714964629373,0.711795807671798,0.814890760136518,"Healthy","Low stress","Healthy and unstressed","Ventura","Ventura","Los Angeles","likely unconstrained",1.04,92,61,1001,0.95,0.77,0.82,0.93,75,70,1,0.82,50,0,0.01,0.62,-119.33913075,34.497568725,0.925093632958802,0.756554307116105,0.49438202247191,0.344569288389513,0.546816479400749,0.790262172284644,0.692883895131086,0.692883895131086,0.794007490636704,0.756554307116105,0.722846441947566,0.681647940074906,0.524344569288389,0.0936329588014981,0.179775280898876,0.561797752808989
"SMC00911",2009,17585780,0.14468376277377,0.590268208485482,0.64954974580984,"Healthy","Low stress","Healthy and unstressed","Ventura","Ventura","Los Angeles","likely unconstrained",0.98,92,67,742,1.06,0.85,0.78,1,83,83,1.01,0.74,88,0,0,0.62,-119.29854,34.50797,0.868913857677903,0.756554307116105,0.606741573033708,0.205992509363296,0.838951310861423,0.947565543071161,0.771535580524345,0.610486891385768,1,0.857677902621723,0.745318352059925,0.535580524344569,0.958801498127341,0.0936329588014981,0.108614232209738,0.561797752808989
"SMC01567",2010,17585776,0.222636177866998,0.730637413368816,0.790607270116751,"Impacted for CSCI","Low stress","Impacted by unknown stress","Ventura","Ventura","Los Angeles","possibly unconstrained",1.14,100,44,824,0.7,0.7,0.72,0.89,75,67,0.91,0.84,50,0.02,0,0.51,-119.38373,34.50959,0.97752808988764,1,0.292134831460674,0.239700374531835,0.50187265917603,0.52059925093633,0.546816479400749,0.471910112359551,0.730337078651685,0.756554307116105,0.539325842696629,0.704119850187266,0.524344569288389,0.0973782771535581,0.108614232209738,0.445692883895131
"SMC02127",2009,17586736,0.583439306887837,0.785846425135478,0.910792038421987,"Impacted for ASCI","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed","Ventura","Ventura","Los Angeles","possibly unconstrained",0.74,92,81,1110,0.87,0.7,0.72,0.94,75,87,1.07,0.51,100,0.35,0.01,1,-119.26474,34.42318,0.49812734082397,0.756554307116105,0.876404494382023,0.397003745318352,0.917602996254682,0.704119850187266,0.546816479400749,0.471910112359551,0.808988764044944,0.756554307116105,0.868913857677903,0.363295880149813,1,0.247191011235955,0.179775280898876,1
"SMC02591",2011,17585756,0.233857205002395,0.684514918628456,0.758293377977959,"Healthy","Low stress","Healthy and unstressed","Ventura","Ventura","Los Angeles","likely unconstrained",0.99,92,64,876,0.97,0.75,0.62,1,75,83,1,0.84,100,0,0,0.67,-119.37846,34.51783,0.891385767790262,0.756554307116105,0.561797752808989,0.273408239700375,0.838951310861423,0.831460674157303,0.655430711610487,0.310861423220974,1,0.756554307116105,0.722846441947566,0.704119850187266,1,0.0936329588014981,0.108614232209738,0.629213483146067
"SMC04047",2009,17586578,0.151769710084219,0.824777575287986,0.851371031886783,"Impacted for CSCI","Low stress","Impacted by unknown stress","Ventura","Ventura","Los Angeles","possibly constrained",0.91,88,56,765,0.65,0.66,0.55,0.76,67,72,0.8,1,75,0,0,0.33,-119.29171,34.45832,0.756554307116105,0.595505617977528,0.393258426966292,0.220973782771536,0.602996254681648,0.397003745318352,0.49812734082397,0.254681647940075,0.50936329588015,0.543071161048689,0.385767790262172,1,0.842696629213483,0.0936329588014981,0.108614232209738,0.329588014981273
